id,idiom,missing,order
1109,凿壁偷光,2,G
1110,凿凿有据,1,O
1111,皂白不分,4,B
1112,造化小儿,3,I
1113,造谣惑众,4,N
1114,择善而从,3,G
1115,啧有烦言,3,O
1116,债多不愁,4,B
1117,瞻前顾后,3,I
1118,张冠李戴,3,N
1119,张三李四,1,G
1120,彰善瘅恶,3,O
1121,长此以往,1,B
1122,长目飞耳,4,I
1123,长治久安,2,N
1124,掌上明珠,1,G
1125,招风惹草,2,O
1126,招摇过市,3,B
1127,照本宣科,2,I
1128,折槁振落,3,N
1129,辙乱旗靡,2,G
1130,着手成春,3,O
1131,针锋相对,4,B
1132,真脏实犯,2,I
1133,枕石漱流,3,N
1134,震古烁今,2,G
1135,争猫丢牛,3,O
1136,争权夺利,3,B
1137,整装待发,3,I
1138,正襟危坐,3,N
1139,正理平治,2,G
1140,正中下怀,4,O
1141,支吾其词,2,B
1142,只字不提,3,I
1143,知书达礼,1,N
1144,知无不言,3,G
1145,指不胜屈,4,O
1146,至高无上,2,B
1147,至死不变,2,I
1148,志美行厉,4,N
1149,治病救人,3,G
1150,治国安民,3,O
1151,智圆行方,2,B
1152,置之脑后,2,I
1153,终南捷径,1,N
1154,钟灵毓秀,4,G
1155,钟鸣漏尽,4,O
1156,踵决肘见,3,B
1157,众口难调,3,I
1158,众口铄金,4,N
1159,众口铄金,1,G
1160,众擎易举,4,O
1161,众所周知,3,B
1162,重睹天日,1,I
1163,重于泰山,3,N
1164,粥少僧多,1,G
1165,珠沉玉碎,2,O
1166,珠光宝气,2,B
1167,竹报平安,2,I
1168,烛照数计,2,N
1169,主客颠倒,3,G
1170,主情造意,4,O
1171,助人为乐,2,B
1172,助我张目,2,I
1173,著作等身,1,N
1174,转嗔为喜,3,G
1175,转祸为福,1,O
1176,追本穷源,2,B
1177,姿意妄为,4,I
1178,兹事体大,1,N
1179,资深望重,2,G
1180,字斟句酌,4,O
1181,纵虎归山,4,B
1182,嘴直心快,3,I
1183,罪恶滔天,2,N
1184,罪魁祸首,2,G
1185,罪孽深重,2,O
1186,罪有应得,2,B
1187,坐不重席,3,I
1188,座无虚席,1,N
1189,爱屋及乌,4,G
1190,案牍劳形,3,O
1191,暗气暗恼,1,B
1192,八拜之交,4,I
1193,白璧无瑕,3,N
1194,白云苍狗,3,G
1195,百折不回,4,O
1196,半吞半吐,2,B
1197,饱食暖衣,1,I
1198,卑礼厚币,4,N
1199,悲天悯人,1,G
1200,备多力分,4,O
1201,背道而驰,4,B
1202,背信弃义,4,I
1203,悖入悖出,3,N
1204,便宜行事,4,G
1205,别具匠心,1,O
1206,彬彬有礼,4,B
1207,冰清玉洁,1,I
1208,冰天雪地,2,N
1209,兵不雪刃,2,G
1210,兵不由将,3,O
1211,卜昼卜夜,2,B
1212,步履维艰,3,I
1213,才疏意广,2,N
1214,采薪之忧,4,G
1215,餐风露宿,3,O
1216,藏垢纳污,3,B
1217,察言观色,2,I
1218,差强人意,2,N
1219,蝉不知雪,3,G
1220,唱筹量沙,1,O
1221,扯篷拉纤,3,B
1222,陈陈相因,2,I
1223,陈规陋习,1,N
1224,成年累月,3,G
1225,成人之美,1,O
1226,城狐社鼠,2,B
1227,池鱼之殃,3,I
1228,尺短寸长,1,N
1229,赤胆忠心,4,G
1230,赤子之心,3,O
1231,冲口而出,1,B
1232,愁眉锁眼,2,I
1233,出将入相,2,N
1234,出生入死,1,G
1235,出以公心,4,O
1236,疮痍满目,2,B
1237,床头金尽,2,I
1238,此唱彼和,1,N
1239,打牙犯嘴,4,G
1240,大打出手,2,O
1241,大敌当前,2,B
1242,大言不惭,2,I
1243,呆头呆脑,2,N
1244,戴月披星,2,G
1245,胆大包天,3,O
1246,胆大心小,3,B
1247,弹尽粮绝,1,I
1248,当场出彩,4,N
1249,当头棒喝,4,G
1250,刀山火海,1,O
1251,倒持泰阿,1,B
1252,倒凤颠鸾,4,I
1253,道听途说,2,N
1254,得过且过,3,G
1255,得陇望蜀,2,O
1256,得胜回朝,3,B
1257,得未曾有,2,I
1258,等因奉此,2,N
1259,低首下心,3,G
1260,地大物博,3,O
1261,点石成金,4,B
1262,掉以轻心,2,I
1263,鼎新革故,3,N
1264,动人心弦,3,G
1265,动如脱兔,2,O
1266,斗鸡走狗,2,B
1267,斗酒只鸡,4,I
1268,斗转星移,3,N
1269,豆蔻年华,2,G
1270,蠹众木折,4,O
1271,断发文身,1,B
1272,断梗飘蓬,3,I
1273,断鹤续凫,3,N
1274,断烂朝报,1,G
1275,夺其谈经,3,O
1276,恶语中伤,3,B
1277,耳食之谈,3,I
1278,发凡起例,2,N
1279,发扬光大,3,G
1280,法外施仁,2,O
1281,翻然改图,1,B
1282,犯上作乱,4,I
1283,饭糗茹草,3,N
1284,方便之门,3,G
1285,方寸已乱,4,O
1286,方底圆盖,1,B
1287,方枘圆凿,2,I
1288,放任自流,1,N
1289,飞短流长,1,G
1290,非异人任,4,O
1291,肥遁鸣高,2,B
1292,吠影吠声,2,I
1293,肺石风清,3,N
1294,分甘共苦,4,G
1295,丰取刻与,2,O
1296,风刀霜剑,2,B
1297,风行革偃,3,I
1298,风花雪夜,2,N
1299,风卷残云,3,G
1300,凤凰来仪,2,O
1301,凤毛济美,1,B
1302,肤皮潦草,4,I
1303,福至心灵,3,N
1304,俯仰由人,2,G
1305,赴汤蹈火,4,O
1306,改邪归正,4,B
1307,甘雨随车,3,I
1308,感激涕零,4,N
1309,干柴烈火,3,G
1310,刚直不阿,4,O
1311,歌功颂德,3,B
1312,歌舞升平,2,I
1313,耕当问奴,2,N
1314,功败垂成,4,G
1315,攻苦食淡,2,O
1316,共枝别干,2,B
1317,狗吠非主,2,I
1318,狗彘不若,3,N
1319,古今中外,3,G
1320,古貌古心,3,O
1321,骨腾肉飞,4,B
1322,故弄玄虚,1,I
1323,顾影自怜,3,N
1324,寡不敌众,2,G
1325,寡见少闻,1,O
1326,挂一漏万,3,B
1327,怪诞不经,1,I
1328,官逼民反,4,N
1329,贯朽粟陈,3,G
1330,冠盖相望,1,O
1331,冠冕堂皇,1,B
1332,光复旧物,1,I
1333,广开言路,2,N
1334,果于自信,2,G
1335,过街老鼠,3,O
1336,海立云垂,1,B
1337,行成于思,4,I
1338,行将就木,3,N
1339,行云流水,2,G
1340,好逸恶劳,4,O
1341,河清难俟,3,B
1342,鹤发鸡皮,1,I
1343,鹤发童颜,2,N
1344,恒河沙数,2,G
1345,横七竖八,4,O
1346,侯门如海,3,B
1347,后发制人,4,I
1348,后起之秀,4,N
1349,厚貌深情,3,G
1350,呼幺喝六,4,O
1351,虎踞龙盘,2,B
1352,虎口余生,4,I
1353,虎尾春冰,3,N
1354,户限为穿,3,G
1355,华不再扬,2,O
1356,化整为零,3,B
1357,画脂镂冰,2,I
1358,荒诞不经,1,N
1359,灰心丧气,4,G
1360,挥戈反日,2,O
1361,回光返照,1,B
1362,回味无穷,4,I
1363,毁家纾难,3,N
1364,豁然贯通,2,G
1365,火烧眉毛,2,O
1366,火树银花,4,B
1367,祸国殃民,4,I
1368,击节叹赏,2,N
1369,机关算尽,1,G
1370,鸡鸣狗吠,1,O
1371,吉光片羽,3,B
1372,急不暇择,4,I
1373,计出万全,3,N
1374,计日程功,1,G
1375,家贫亲老,3,O
1376,间不容发,4,B
1377,艰苦朴素,2,I
1378,简明扼要,2,N
1379,见钱眼开,1,G
1380,见微知著,1,O
1381,鉴影度形,4,B
1382,箭在弦上,4,I
1383,将机就机,2,N
1384,浆酒霍肉,1,G
1385,降格以求,2,O
1386,降心相从,3,B
1387,娇生惯养,2,I
1388,接二连三,2,N
1389,接踵而来,3,G
1390,接踵而至,1,O
1391,节用裕民,4,B
1392,结结巴巴,3,I
1393,解甲归田,3,N
1394,今非昔比,4,G
1395,金刚怒目,2,O
1396,金玉锦绣,3,B
1397,金玉良言,1,I
1398,尽如人意,3,N
1399,尽善尽美,3,G
1400,尽心竭力,4,O
1401,进寸退尺,1,B
1402,精诚团结,3,I
1403,井中视星,4,N
1404,久安长治,1,G
1405,居安思危,3,O
1406,局促不安,4,B
1407,举案齐眉,2,I
1408,举世瞩目,1,N
1409,举一反三,4,G
1410,绝处逢生,2,O
1411,绝甘分少,4,B
1412,绝路逢生,2,I
1413,空穴来风,1,N
1414,口耳之学,2,G
1415,枯木逢春,4,O
1416,苦大仇深,4,B
1417,快马加鞭,1,I
1418,来龙去脉,1,N
1419,来情去意,4,G
1420,来去分明,1,O
1421,烂若披锦,4,B
1422,劳而无功,2,I
1423,劳燕分飞,3,N
1424,老态龙钟,2,G
1425,乐不可支,4,O
1426,乐而不淫,4,B
1427,雷打不动,2,I
1428,离弦走板,1,N
1429,离乡背井,2,G
1430,礼尚往来,4,O
1431,力争上游,3,B
1432,厉行节约,2,I
1433,立功赎罪,3,N
1434,立身处世,2,G
1435,良工心苦,3,O
1436,两瞽相扶,2,B
1437,量才而为,1,I
1438,聊以自慰,1,N
1439,料事如神,4,G
1440,令人作呕,4,O
1441,戮力同心,2,B
1442,论功行赏,4,I
1443,罗雀掘鼠,3,N
1444,落花流水,1,G
1445,驴前马后,4,O
1446,履舄交错,1,B
1447,马到成功,3,I
1448,马工枚速,1,N
1449,马首是瞻,3,G
1450,满腔热枕,3,O
1451,漫不经心,4,B
1452,毛手毛脚,2,I
1453,茅塞顿开,2,N
1454,貌合心离,2,G
1455,貌似强大,3,O
1456,眉来眼去,1,B
1457,面目全非,4,I
1458,面有菜色,4,N
1459,灭此朝食,4,G
1460,民保于信,3,O
1461,民怨沸腾,4,B
1462,名目繁多,2,I
1463,名正言顺,4,N
1464,明辨是非,1,G
1465,明目张胆,2,O
1466,明知故问,2,B
1467,鸣锣开道,3,I
1468,磨砖成镜,3,N
1469,抹月秕风,4,G
1470,目光如鼠,4,O
1471,目挑心招,3,B
1472,目指气使,2,I
1473,难解难分,2,N
1474,年深日久,1,G
1475,念兹在兹,4,O
1476,鸟枪换炮,2,B
1477,宁缺毋滥,2,I
1478,牛鬼蛇神,1,N
1479,牛骥同皂,1,G
1480,暖衣饱食,3,O
1481,片甲不回,1,B
1482,片言折狱,3,I
1483,贫贱骄人,2,N
1484,平淡无奇,3,G
1485,平起平坐,4,O
1486,破瓜之年,1,B
1487,齐心协力,1,I
1488,歧路亡羊,4,N
1489,起早贪黑,2,G
1490,泣不成声,4,O
1491,器小易盈,4,B
1492,千疮百孔,4,I
1493,千载难逢,2,N
1494,前俯后仰,3,G
1495,前思后想,2,O
1496,前所未闻,1,B
1497,前所未有,2,I
1498,前挽后推,1,N
1499,强作解人,4,G
1500,切肤之痛,4,O
1501,亲如骨肉,4,B
1502,青出于蓝,2,I
1503,轻而易举,4,N
1504,轻重倒置,4,G
1505,清风明月,3,O
1506,情窦初开,1,B
1507,穷途末路,4,I
1508,穷凶极恶,1,N
1509,穷原竟委,4,G
1510,秋高气爽,4,O
1511,秋荼密网,1,B
1512,求田问舍,4,I
1513,裘弊金尽,3,N
1514,区闻陬见,4,G
1515,屈打成招,1,O
1516,趋炎附势,3,B
1517,曲尽其妙,4,I
1518,取辖投井,2,N
1519,取信于民,4,G
1520,群雌粥粥,3,O
1521,人才济济,3,B
1522,人定胜天,1,I
1523,人多势众,3,N
1524,人欢马叫,3,G
1525,人己一视,1,O
1526,人杰地灵,4,B
1527,人莫予毒,2,I
1528,人言啧啧,1,N
1529,人云亦云,3,G
1530,人中骐骥,1,O
1531,人众胜天,3,B
1532,仁言利博,3,I
1533,仁至义尽,2,N
1534,日积月累,3,G
1535,日就月将,4,O
1536,日上三竿,3,B
1537,日新月异,1,I
1538,荣华富贵,1,N
1539,融会贯通,4,G
1540,如花似锦,1,O
1541,如释重负,1,B
1542,如运诸掌,4,I
1543,入不敷出,4,N
1544,入井望天,4,G
1545,入门问讳,1,O
1546,若有所失,4,B
1547,三命而俯,4,I
1548,三牲五鼎,3,N
1549,森罗万象,4,G
1550,杀一儆百,4,O
1551,山高水低,1,B
1552,山盟海誓,1,I
1553,山南海北,1,N
1554,善始善终,4,G
1555,上树拔梯,1,O
1556,上下交困,4,B
1557,上下其手,4,I
1558,上下一心,3,N
1559,上雨旁风,2,G
1560,舌锋如火,2,O
1561,舌剑唇枪,3,B
1562,舌桥不下,2,I
1563,蛇口蜂针,2,N
1564,舍己为人,2,G
1565,舍生忘死,4,O
1566,身价百倍,2,B
1567,深更半夜,4,I
1568,神施鬼设,4,N
1569,生离死别,4,G
1570,生龙活虎,3,O
1571,声势浩大,4,B
1572,尸居余气,2,I
1573,师出无名,3,N
1574,诗中有画,2,G
1575,十围五攻,2,O
1576,十之八九,3,B
1577,石破天惊,3,I
1578,时不再来,1,N
1579,实至名归,1,G
1580,食古不化,2,O
1581,食肉寝皮,4,B
1582,使臂使指,4,I
1583,使贪使愚,2,N
1584,始乱终弃,3,G
1585,势焰熏天,1,O
1586,事倍功半,3,B
1587,视民如伤,3,I
1588,是古非今,2,N
1589,手不停挥,2,G
1590,手到病除,3,O
1591,受宠若惊,3,B
1592,鼠窜狼奔,4,I
1593,鼠目寸光,3,N
1594,树大招风,1,G
1595,数白论黄,4,O
1596,数见不鲜,1,B
1597,数一数二,4,I
1598,双瞳剪水,2,N
1599,双宿双飞,1,G
1600,水滴石穿,3,O
1601,水过鸭背,1,B
1602,水磨工夫,4,I
1603,水涨船高,1,N
1604,顺水人情,4,G
1605,说黄道黑,1,O
1606,说三道四,2,B
1607,四不拗六,4,I
1608,四大皆空,3,N
1609,四衢八街,1,G
1610,四时八节,4,O
1611,四亭八当,3,B
1612,素昧平生,2,I
1613,碎琼乱玉,3,N
1614,堂堂正正,2,G
1615,傥来之物,4,O
1616,讨价还价,3,B
1617,腾云驾雾,1,I
1618,提心吊胆,3,N
1619,天荒地老,4,G
1620,天昏地暗,3,O
1621,天南地北,1,B
1622,天壤悬隔,1,I
1623,天上石麟,2,N
1624,天下第一,2,G
1625,天灾人祸,1,O
1626,调兵遣将,2,B
1627,调虎离山,2,I
1628,偷工减料,3,N
1629,头疼脑热,4,G
1630,投鼠忌器,3,O
1631,徒劳往返,1,B
1632,涂脂抹粉,1,I
1633,吐哺握发,4,N
1634,推襟送抱,3,G
1635,退避三舍,4,O
1636,歪打正着,1,B
1637,万古长青,2,I
1638,亡命之徒,1,N
1639,亡羊补牢,2,G
1640,亡羊得牛,3,O
1641,忘乎所以,4,B
1642,望穿秋水,1,I
1643,为期不远,2,N
1644,为人作嫁,4,G
1645,畏葸不前,3,O
1646,蔚然成风,2,B
1647,蔚为大观,1,I
1648,慰情胜无,2,N
1649,闻风而起,2,G
1650,问道于盲,3,O
1651,我心如秤,2,B
1652,卧薪尝胆,1,I
1653,屋乌之爱,1,N
1654,舞衫歌扇,1,G
1655,舞文弄墨,3,O
1656,物换星移,2,B
1657,物及必反,3,I
1658,物尽其用,1,N
1659,物以类聚,3,G
1660,息息相通,4,O
1661,席卷天下,3,B
1662,洗耳恭听,1,I
1663,徙宅忘妻,2,N
1664,喜新厌旧,1,G
1665,下车泣罪,2,O
1666,下车伊始,4,B
1667,下气怡声,4,I
1668,乡壁虚造,4,N
1669,香花供养,3,G
1670,向壁虚造,4,O
1671,向天而唾,2,B
1672,向隅而泣,1,I
1673,象齿焚身,3,N
1674,霄壤之别,4,G
1675,小恩小惠,4,O
1676,小试锋芒,1,B
1677,笑逐颜开,3,I
1678,心安理得,4,N
1679,心慈面软,2,G
1680,心回意转,3,O
1681,心坚石穿,3,B
1682,心口如一,4,I
1683,心旷神怡,1,N
1684,心灵手巧,1,G
1685,新陈代谢,2,O
1686,信口雌黄,2,B
1687,信口开河,3,I
1688,星火燎原,2,N
1689,星罗棋布,3,G
1690,形影相吊,2,O
1691,形影相随,4,B
1692,幸灾乐祸,4,I
1693,性命交关,4,N
1694,胸有成竹,1,G
1695,雄才大略,2,O
1696,雄心壮志,4,B
1697,朽木死灰,3,I
1698,虚情假意,4,N
1699,虚张声势,1,G
1700,悬鹑百结,2,O
1701,雪虐风饕,4,B
1702,雪上加霜,4,I
1703,雅俗共赏,4,N
1704,严阵以待,1,G
1705,言传身教,4,O
1706,言过其实,2,B
1707,雁杳鱼沉,3,I
1708,扬幡招魂,4,N
1709,羊狠狼贪,2,G
1710,野草闲花,1,O
1711,叶公好龙,4,B
1712,叶落知秋,2,I
1713,一呼百诺,3,N
1714,衣不完采,4,G
1715,依依不舍,2,O
1716,疑神疑鬼,2,B
1717,以莛叩钟,3,I
1718,义形于色,3,N
1719,艺不压身,3,G
1720,意气相投,1,O
1721,意气扬扬,2,B
1722,因敌取资,1,I
1723,因循守旧,1,N
1724,音容宛在,4,G
1725,隐忍不言,3,O
1726,隐姓埋名,4,B
1727,鹰瞵鹗视,3,I
1728,盈科后进,1,N
1729,营私舞弊,2,G
1730,影影绰绰,4,O
1731,应有尽有,3,B
1732,勇猛精进,4,I
1733,勇往直前,2,N
1734,用行舍藏,2,G
1735,忧国奉公,2,O
1736,游山玩水,4,B
1737,有备无患,4,I
1738,有眼无珠,1,N
1739,渔人之利,1,G
1740,与世无争,1,O
1741,语重心长,2,B
1742,欲罢不能,2,I
1743,欲擒故纵,1,N
1744,欲取姑予,3,G
1745,遇事生风,2,O
1746,誉不绝口,1,B
1747,缘木求鱼,3,I
1748,猿猴取月,1,N
1749,源源而来,2,G
1750,远见卓识,2,O
1751,远走高飞,4,B
1752,怨气冲天,4,I
1753,云兴霞蔚,1,N
1754,运用自如,1,G
1755,在所不惜,4,O
1756,战天斗地,1,B
1757,长歌当哭,3,I
1758,长年累月,2,N
1759,长驱直入,3,G
1760,长枕大被,4,O
1761,照猫画虎,1,B
1762,振臂一呼,1,I
1763,争长论短,2,N
1764,知难而退,3,G
1765,知人之明,4,O
1766,知小谋大,1,B
1767,止于至善,2,I
1768,指鸡骂狗,2,N
1769,趾高气扬,2,G
1770,志士仁人,2,O
1771,质疑问难,4,B
1772,智勇双全,4,I
1773,置若罔闻,4,N
1774,中馈犹虚,1,G
1775,中庸之道,3,O
1776,重蹈覆辙,4,B
1777,重见天日,3,I
1778,重温旧梦,4,N
1779,舟中敌国,4,G
1780,壮志凌云,4,O
1781,酌盈剂虚,2,B
1782,子虚乌有,3,I
1783,罪大恶极,3,N
1784,罪恶昭彰,1,G
1785,罪该万死,1,O
1786,作威作福,1,B
1787,坐观成败,4,I
1788,坐井观天,2,N
1789,百里挑一,3,G
1790,金玉满堂,2,O
