id,idiom,missing,order
1109,枕石漱流,3,G
1110,震古烁今,2,O
1111,争猫丢牛,3,B
1112,争权夺利,3,I
1113,整装待发,3,N
1114,正襟危坐,3,G
1115,正理平治,2,O
1116,正中下怀,4,B
1117,支吾其词,2,I
1118,只字不提,3,N
1119,知书达礼,1,G
1120,知无不言,3,O
1121,指不胜屈,4,B
1122,至高无上,2,I
1123,至死不变,2,N
1124,志美行厉,4,G
1125,治病救人,3,O
1126,治国安民,3,B
1127,智圆行方,2,I
1128,置之脑后,2,N
1129,终南捷径,1,G
1130,钟灵毓秀,4,O
1131,钟鸣漏尽,4,B
1132,踵决肘见,3,I
1133,众口难调,3,N
1134,众口铄金,4,G
1135,众擎易举,4,O
1136,众所周知,3,B
1137,重睹天日,1,I
1138,重于泰山,3,N
1139,粥少僧多,1,G
1140,珠沉玉碎,2,O
1141,珠光宝气,2,B
1142,竹报平安,2,I
1143,烛照数计,2,N
1144,主客颠倒,3,G
1145,主情造意,4,O
1146,助人为乐,2,B
1147,助我张目,2,I
1148,著作等身,1,N
1149,转嗔为喜,3,G
1150,转祸为福,1,O
1151,追本穷源,2,B
1152,姿意妄为,4,I
1153,兹事体大,1,N
1154,资深望重,2,G
1155,字斟句酌,4,O
1156,纵虎归山,4,B
1157,嘴直心快,3,I
1158,罪恶滔天,2,N
1159,罪魁祸首,2,G
1160,罪孽深重,2,O
1161,罪有应得,2,B
1162,坐不重席,3,I
1163,座无虚席,1,N
1164,爱屋及乌,4,G
1165,案牍劳形,3,O
1166,暗气暗恼,1,B
1167,八拜之交,4,I
1168,白璧无瑕,3,N
1169,白云苍狗,3,G
1170,半吞半吐,2,O
1171,饱食暖衣,1,B
1172,卑礼厚币,4,I
1173,悲天悯人,1,N
1174,备多力分,4,G
1175,背道而驰,4,O
1176,背信弃义,4,B
1177,悖入悖出,3,I
1178,便宜行事,4,N
1179,彬彬有礼,4,G
1180,冰清玉洁,1,O
1181,冰天雪地,2,B
1182,兵不雪刃,2,I
1183,兵不由将,3,N
1184,卜昼卜夜,2,G
1185,步履维艰,3,O
1186,才疏意广,2,B
1187,采薪之忧,4,I
1188,餐风露宿,3,N
1189,藏垢纳污,3,G
1190,察言观色,2,O
1191,差强人意,2,B
1192,蝉不知雪,3,I
1193,唱筹量沙,1,N
1194,扯篷拉纤,3,G
1195,陈规陋习,1,O
1196,成年累月,3,B
1197,成人之美,1,I
1198,城狐社鼠,2,N
1199,池鱼之殃,3,G
1200,尺短寸长,1,O
1201,赤胆忠心,4,B
1202,赤子之心,3,I
1203,冲口而出,1,N
1204,愁眉锁眼,2,G
1205,出将入相,2,O
1206,出生入死,1,B
1207,出以公心,4,I
1208,疮痍满目,2,N
1209,床头金尽,2,G
1210,此唱彼和,1,O
1211,打牙犯嘴,4,B
1212,大言不惭,2,I
1213,呆头呆脑,2,N
1214,戴月披星,2,G
1215,胆大包天,3,O
1216,胆大心小,3,B
1217,弹尽粮绝,1,I
1218,当场出彩,4,N
1219,当头棒喝,4,G
1220,刀山火海,1,O
1221,倒持泰阿,1,B
1222,倒凤颠鸾,4,I
1223,道听途说,2,N
1224,得过且过,3,G
1225,得陇望蜀,2,O
1226,得未曾有,2,B
1227,等因奉此,2,I
1228,低首下心,3,N
1229,地大物博,3,G
1230,点石成金,4,O
1231,掉以轻心,2,B
1232,鼎新革故,3,I
1233,动人心弦,3,N
1234,动如脱兔,2,G
1235,斗鸡走狗,2,O
1236,斗酒只鸡,4,B
1237,斗转星移,3,I
1238,豆蔻年华,2,N
1239,蠹众木折,4,G
1240,断发文身,1,O
1241,断梗飘蓬,3,B
1242,断鹤续凫,3,I
1243,断烂朝报,1,N
1244,夺其谈经,3,G
1245,恶语中伤,3,O
1246,耳食之谈,3,B
1247,发凡起例,2,I
1248,发扬光大,3,N
1249,法外施仁,2,G
1250,翻然改图,1,O
1251,犯上作乱,4,B
1252,饭糗茹草,3,I
1253,方便之门,3,N
1254,方寸已乱,4,G
1255,方底圆盖,1,O
1256,方枘圆凿,2,B
1257,放任自流,1,I
1258,飞短流长,1,N
1259,非异人任,4,G
1260,肥遁鸣高,2,O
1261,吠影吠声,2,B
1262,肺石风清,3,I
1263,分甘共苦,4,N
1264,丰取刻与,2,G
1265,风刀霜剑,2,O
1266,风行革偃,3,B
1267,凤凰来仪,2,I
1268,凤毛济美,1,N
1269,肤皮潦草,4,G
1270,福至心灵,3,O
1271,赴汤蹈火,4,B
1272,改邪归正,4,I
1273,甘雨随车,3,N
1274,感激涕零,4,G
1275,干柴烈火,3,O
1276,刚直不阿,4,B
1277,歌功颂德,3,I
1278,歌舞升平,2,N
1279,耕当问奴,2,G
1280,功败垂成,4,O
1281,共枝别干,2,B
1282,狗吠非主,2,I
1283,狗彘不若,3,N
1284,古今中外,3,G
1285,古貌古心,3,O
1286,骨腾肉飞,4,B
1287,故弄玄虚,1,I
1288,顾影自怜,3,N
1289,寡不敌众,2,G
1290,寡见少闻,1,O
1291,怪诞不经,1,B
1292,官逼民反,4,I
1293,贯朽粟陈,3,N
1294,冠盖相望,1,G
1295,冠冕堂皇,1,O
1296,光复旧物,1,B
1297,广开言路,2,I
1298,果于自信,2,N
1299,海立云垂,1,G
1300,行成于思,4,O
1301,行将就木,3,B
1302,行云流水,2,I
1303,好逸恶劳,4,N
1304,河清难俟,3,G
1305,鹤发鸡皮,1,O
1306,鹤发童颜,2,B
1307,恒河沙数,2,I
1308,横七竖八,4,N
1309,侯门如海,3,G
1310,后起之秀,4,O
1311,厚貌深情,3,B
1312,呼幺喝六,4,I
1313,虎踞龙盘,2,N
1314,虎口余生,4,G
1315,虎尾春冰,3,O
1316,户限为穿,3,B
1317,华不再扬,2,I
1318,化整为零,3,N
1319,画脂镂冰,2,G
1320,荒诞不经,1,O
1321,灰心丧气,4,B
1322,挥戈反日,2,I
1323,回光返照,1,N
1324,毁家纾难,3,G
1325,豁然贯通,2,O
1326,火烧眉毛,2,B
1327,火树银花,4,I
1328,击节叹赏,2,N
1329,机关算尽,1,G
1330,鸡鸣狗吠,1,O
1331,吉光片羽,3,B
1332,急不暇择,4,I
1333,计出万全,3,N
1334,计日程功,1,G
1335,家贫亲老,3,O
1336,间不容发,4,B
1337,艰苦朴素,2,I
1338,简明扼要,2,N
1339,见钱眼开,1,G
1340,见微知著,1,O
1341,鉴影度形,4,B
1342,箭在弦上,4,I
1343,将机就机,2,N
1344,浆酒霍肉,1,G
1345,降格以求,2,O
1346,降心相从,3,B
1347,娇生惯养,2,I
1348,接踵而来,3,N
1349,接踵而至,1,G
1350,节用裕民,4,O
1351,结结巴巴,3,B
1352,解甲归田,3,I
1353,今非昔比,4,N
1354,金玉锦绣,3,G
1355,金玉良言,1,O
1356,尽如人意,3,B
1357,尽善尽美,3,I
1358,尽心竭力,4,N
1359,进寸退尺,1,G
1360,精诚团结,3,O
1361,井中视星,4,B
1362,久安长治,1,I
1363,居安思危,3,N
1364,局促不安,4,G
1365,举案齐眉,2,O
1366,举世瞩目,1,B
1367,绝处逢生,2,I
1368,绝甘分少,4,N
1369,绝路逢生,2,G
1370,口耳之学,2,O
1371,枯木逢春,4,B
1372,快马加鞭,1,I
1373,来龙去脉,1,N
1374,来情去意,4,G
1375,来去分明,1,O
1376,烂若披锦,4,B
1377,劳而无功,2,I
1378,劳燕分飞,3,N
1379,老态龙钟,2,G
1380,乐不可支,4,O
1381,乐而不淫,4,B
1382,雷打不动,2,I
1383,离弦走板,1,N
1384,离乡背井,2,G
1385,礼尚往来,4,O
1386,力争上游,3,B
1387,厉行节约,2,I
1388,立功赎罪,3,N
1389,立身处世,2,G
1390,两瞽相扶,2,O
1391,量才而为,1,B
1392,令人作呕,4,I
1393,戮力同心,2,N
1394,论功行赏,4,G
1395,罗雀掘鼠,3,O
1396,落花流水,1,B
1397,驴前马后,4,I
1398,履舄交错,1,N
1399,马到成功,3,G
1400,马工枚速,1,O
1401,马首是瞻,3,B
1402,满腔热枕,3,I
1403,漫不经心,4,N
1404,毛手毛脚,2,G
1405,茅塞顿开,2,O
1406,貌合心离,2,B
1407,貌似强大,3,I
1408,眉来眼去,1,N
1409,面目全非,4,G
1410,面有菜色,4,O
1411,灭此朝食,4,B
1412,民保于信,3,I
1413,民怨沸腾,4,N
1414,名目繁多,2,G
1415,名正言顺,4,O
1416,明辨是非,1,B
1417,明目张胆,2,I
1418,明知故问,2,N
1419,鸣锣开道,3,G
1420,磨砖成镜,3,O
1421,目挑心招,3,B
1422,目指气使,2,I
1423,难解难分,2,N
1424,年深日久,1,G
1425,念兹在兹,4,O
1426,鸟枪换炮,2,B
1427,宁缺毋滥,2,I
1428,牛鬼蛇神,1,N
1429,牛骥同皂,1,G
1430,暖衣饱食,3,O
1431,片甲不回,1,B
1432,片言折狱,3,I
1433,贫贱骄人,2,N
1434,平淡无奇,3,G
1435,平起平坐,4,O
1436,破瓜之年,1,B
1437,齐心协力,1,I
1438,歧路亡羊,4,N
1439,起早贪黑,2,G
1440,泣不成声,4,O
1441,器小易盈,4,B
1442,千疮百孔,4,I
1443,千载难逢,2,N
1444,前俯后仰,3,G
1445,前思后想,2,O
1446,前所未有,2,B
1447,切肤之痛,4,I
1448,亲如骨肉,4,N
1449,青出于蓝,2,G
1450,轻重倒置,4,O
1451,清风明月,3,B
1452,情窦初开,1,I
1453,穷途末路,4,N
1454,穷凶极恶,1,G
1455,穷原竟委,4,O
1456,秋高气爽,4,B
1457,秋荼密网,1,I
1458,求田问舍,4,N
1459,裘弊金尽,3,G
1460,区闻陬见,4,O
1461,屈打成招,1,B
1462,趋炎附势,3,I
1463,曲尽其妙,4,N
1464,取辖投井,2,G
1465,取信于民,4,O
1466,群雌粥粥,3,B
1467,人才济济,3,I
1468,人定胜天,1,N
1469,人欢马叫,3,G
1470,人己一视,1,O
1471,人杰地灵,4,B
1472,人莫予毒,2,I
1473,人言啧啧,1,N
1474,人中骐骥,1,G
1475,仁言利博,3,O
1476,仁至义尽,2,B
1477,日积月累,3,I
1478,日就月将,4,N
1479,日上三竿,3,G
1480,日新月异,1,O
1481,荣华富贵,1,B
1482,融会贯通,4,I
1483,如花似锦,1,N
1484,如释重负,1,G
1485,如运诸掌,4,O
1486,入不敷出,4,B
1487,入井望天,4,I
1488,入门问讳,1,N
1489,若有所失,4,G
1490,森罗万象,4,O
1491,杀一儆百,4,B
1492,山高水低,1,I
1493,山盟海誓,1,N
1494,山南海北,1,G
1495,善始善终,4,O
1496,上树拔梯,1,B
1497,上下交困,4,I
1498,上下其手,4,N
1499,上下一心,3,G
1500,上雨旁风,2,O
1501,舌锋如火,2,B
1502,舌剑唇枪,3,I
1503,舌桥不下,2,N
1504,蛇口蜂针,2,G
1505,舍生忘死,4,O
1506,身价百倍,2,B
1507,深更半夜,4,I
1508,神施鬼设,4,N
1509,生离死别,4,G
1510,生龙活虎,3,O
1511,声势浩大,4,B
1512,尸居余气,2,I
1513,师出无名,3,N
1514,诗中有画,2,G
1515,十之八九,3,O
1516,石破天惊,3,B
1517,时不再来,1,I
1518,实至名归,1,N
1519,食古不化,2,G
1520,食肉寝皮,4,O
1521,使臂使指,4,B
1522,使贪使愚,2,I
1523,始乱终弃,3,N
1524,势焰熏天,1,G
1525,事倍功半,3,O
1526,视民如伤,3,B
1527,是古非今,2,I
1528,手不停挥,2,N
1529,受宠若惊,3,G
1530,鼠窜狼奔,4,O
1531,树大招风,1,B
1532,数白论黄,4,I
1533,数见不鲜,1,N
1534,数一数二,4,G
1535,双瞳剪水,2,O
1536,双宿双飞,1,B
1537,水滴石穿,3,I
1538,水过鸭背,1,N
1539,水磨工夫,4,G
1540,顺水人情,4,O
1541,说黄道黑,1,B
1542,说三道四,2,I
1543,四不拗六,4,N
1544,四大皆空,3,G
1545,四衢八街,1,O
1546,四时八节,4,B
1547,四亭八当,3,I
1548,素昧平生,2,N
1549,碎琼乱玉,3,G
1550,堂堂正正,2,O
1551,傥来之物,4,B
1552,讨价还价,3,I
1553,腾云驾雾,1,N
1554,提心吊胆,3,G
1555,天荒地老,4,O
1556,天昏地暗,3,B
1557,天南地北,1,I
1558,天壤悬隔,1,N
1559,天上石麟,2,G
1560,天下第一,2,O
1561,调兵遣将,2,B
1562,调虎离山,2,I
1563,头疼脑热,4,N
1564,投鼠忌器,3,G
1565,徒劳往返,1,O
1566,涂脂抹粉,1,B
1567,吐哺握发,4,I
1568,推襟送抱,3,N
1569,退避三舍,4,G
1570,歪打正着,1,O
1571,亡命之徒,1,B
1572,亡羊补牢,2,I
1573,亡羊得牛,3,N
1574,忘乎所以,4,G
1575,望穿秋水,1,O
1576,为期不远,2,B
1577,为人作嫁,4,I
1578,畏葸不前,3,N
1579,蔚为大观,1,G
1580,闻风而起,2,O
1581,问道于盲,3,B
1582,我心如秤,2,I
1583,卧薪尝胆,1,N
1584,屋乌之爱,1,G
1585,舞衫歌扇,1,O
1586,舞文弄墨,3,B
1587,物换星移,2,I
1588,物及必反,3,N
1589,物尽其用,1,G
1590,物以类聚,3,O
1591,息息相通,4,B
1592,席卷天下,3,I
1593,洗耳恭听,1,N
1594,徙宅忘妻,2,G
1595,喜新厌旧,1,O
1596,下车泣罪,2,B
1597,下车伊始,4,I
1598,下气怡声,4,N
1599,乡壁虚造,4,G
1600,香花供养,3,O
1601,向壁虚造,4,B
1602,向天而唾,2,I
1603,向隅而泣,1,N
1604,象齿焚身,3,G
1605,霄壤之别,4,O
1606,小恩小惠,4,B
1607,小试锋芒,1,I
1608,笑逐颜开,3,N
1609,心慈面软,2,G
1610,心回意转,3,O
1611,心坚石穿,3,B
1612,心旷神怡,1,I
1613,心灵手巧,1,N
1614,新陈代谢,2,G
1615,信口雌黄,2,O
1616,信口开河,3,B
1617,星火燎原,2,I
1618,星罗棋布,3,N
1619,形影相吊,2,G
1620,形影相随,4,O
1621,性命交关,4,B
1622,胸有成竹,1,I
1623,雄才大略,2,N
1624,雄心壮志,4,G
1625,朽木死灰,3,O
1626,虚情假意,4,B
1627,虚张声势,1,I
1628,悬鹑百结,2,N
1629,雪虐风饕,4,G
1630,雪上加霜,4,O
1631,雅俗共赏,4,B
1632,严阵以待,1,I
1633,言传身教,4,N
1634,言过其实,2,G
1635,雁杳鱼沉,3,O
1636,扬幡招魂,4,B
1637,羊狠狼贪,2,I
1638,野草闲花,1,N
1639,叶公好龙,4,G
1640,叶落知秋,2,O
1641,一呼百诺,3,B
1642,衣不完采,4,I
1643,疑神疑鬼,2,N
1644,以莛叩钟,3,G
1645,义形于色,3,O
1646,艺不压身,3,B
1647,意气相投,1,I
1648,意气扬扬,2,N
1649,因敌取资,1,G
1650,音容宛在,4,O
1651,隐忍不言,3,B
1652,隐姓埋名,4,I
1653,鹰瞵鹗视,3,N
1654,盈科后进,1,G
1655,营私舞弊,2,O
1656,影影绰绰,4,B
1657,应有尽有,3,I
1658,勇猛精进,4,N
1659,用行舍藏,2,G
1660,忧国奉公,2,O
1661,有备无患,4,B
1662,有眼无珠,1,I
1663,渔人之利,1,N
1664,与世无争,1,G
1665,语重心长,2,O
1666,欲罢不能,2,B
1667,欲擒故纵,1,I
1668,欲取姑予,3,N
1669,遇事生风,2,G
1670,誉不绝口,1,O
1671,缘木求鱼,3,B
1672,猿猴取月,1,I
1673,源源而来,2,N
1674,远见卓识,2,G
1675,远走高飞,4,O
1676,怨气冲天,4,B
1677,运用自如,1,I
1678,在所不惜,4,N
1679,战天斗地,1,G
1680,长歌当哭,3,O
1681,长年累月,2,B
1682,长驱直入,3,I
1683,长枕大被,4,N
1684,照猫画虎,1,G
1685,振臂一呼,1,O
1686,争长论短,2,B
1687,知难而退,3,I
1688,知人之明,4,N
1689,知小谋大,1,G
1690,止于至善,2,O
1691,指鸡骂狗,2,B
1692,趾高气扬,2,I
1693,志士仁人,2,N
1694,质疑问难,4,G
1695,智勇双全,4,O
1696,置若罔闻,4,B
1697,中馈犹虚,1,I
1698,中庸之道,3,N
1699,重蹈覆辙,4,G
1700,重见天日,3,O
1701,重温旧梦,4,B
1702,舟中敌国,4,I
1703,壮志凌云,4,N
1704,酌盈剂虚,2,G
1705,子虚乌有,3,O
1706,罪大恶极,3,B
1707,罪恶昭彰,1,I
1708,罪该万死,1,N
1709,作威作福,1,G
1710,坐观成败,4,O
